name,version,source,files,unsafe_blocks,unsafe_fns,unsafe_impls,total,location
rand_core,0.6.4,registry+https://github.com/rust-lang/crates.io-index,6,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand_core-0.6.4
rayon,1.12.0,registry+https://github.com/rust-lang/crates.io-index,116,50,9,5,64,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rayon-1.12.0
rayon-core,1.13.0,registry+https://github.com/rust-lang/crates.io-index,34,42,40,5,87,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rayon-core-1.13.0
redox_syscall,0.5.18,registry+https://github.com/rust-lang/crates.io-index,23,161,15,2,178,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/redox_syscall-0.5.18
regex,1.13.1,registry+https://github.com/rust-lang/crates.io-index,22,0,0,1,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/regex-1.13.1
regex-automata,0.4.18,registry+https://github.com/rust-lang/crates.io-index,100,35,12,7,54,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/regex-automata-0.4.18
regex-syntax,0.8.11,registry+https://github.com/rust-lang/crates.io-index,34,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/regex-syntax-0.8.11
ring,0.17.14,registry+https://github.com/rust-lang/crates.io-index,168,180,16,0,196,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ring-0.17.14
rusqlite,0.32.1,registry+https://github.com/rust-lang/crates.io-index,56,223,50,17,290,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rusqlite-0.32.1
rustc_version,0.4.1,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustc_version-0.4.1
rustls,0.23.44,registry+https://github.com/rust-lang/crates.io-index,110,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustls-0.23.44
rustls-pki-types,1.15.1,registry+https://github.com/rust-lang/crates.io-index,5,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustls-pki-types-1.15.1
rustls-webpki,0.103.15,registry+https://github.com/rust-lang/crates.io-index,19,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustls-webpki-0.103.15
rustversion,1.0.23,registry+https://github.com/rust-lang/crates.io-index,24,1,1,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustversion-1.0.23
ryu,1.0.23,registry+https://github.com/rust-lang/crates.io-index,28,18,12,0,30,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ryu-1.0.23
same-file,1.0.6,registry+https://github.com/rust-lang/crates.io-index,6,3,0,0,3,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/same-file-1.0.6
scopeguard,1.2.0,registry+https://github.com/rust-lang/crates.io-index,2,2,0,1,3,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/scopeguard-1.2.0
semver,1.0.28,registry+https://github.com/rust-lang/crates.io-index,15,39,6,2,47,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/semver-1.0.28
serde,1.0.229,registry+https://github.com/rust-lang/crates.io-index,25,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde-1.0.229
serde_core,1.0.229,registry+https://github.com/rust-lang/crates.io-index,20,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_core-1.0.229
serde_derive,1.0.229,registry+https://github.com/rust-lang/crates.io-index,28,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_derive-1.0.229
