rho_usd_per_decision,c_fixed_usd_per_year,n_star_decisions_per_year
0.028877551020408166,18000.0,623321.554770318
0.028877551020408166,19000.0,657950.5300353356
0.028877551020408166,20000.0,692579.5053003533
0.028877551020408166,21000.0,727208.480565371
0.028877551020408166,22000.0,761837.4558303886
0.028877551020408166,23000.0,796466.4310954063
0.028877551020408166,24000.0,831095.4063604239
0.028877551020408166,25000.0,865724.3816254416
0.028877551020408166,26000.0,900353.3568904593
0.028877551020408166,27000.0,934982.3321554769
0.028877551020408166,28000.0,969611.3074204946
0.028877551020408166,29000.0,1004240.2826855123
0.028877551020408166,30000.0,1038869.2579505299
0.028877551020408166,31000.0,1073498.2332155476
0.028877551020408166,32000.0,1108127.2084805653
0.028877551020408166,33000.0,1142756.1837455828
0.028877551020408166,34000.0,1177385.1590106005
0.028877551020408166,35000.0,1212014.1342756182
0.028877551020408166,36000.0,1246643.109540636
0.028877551020408166,37000.0,1281272.0848056537
0.028877551020408166,38000.0,1315901.0600706711
0.028877551020408166,39000.0,1350530.0353356889
0.028877551020408166,40000.0,1385159.0106007066
0.028877551020408166,41000.0,1419787.9858657243
0.028877551020408166,42000.0,1454416.961130742
0.028877551020408166,43000.0,1489045.9363957595
0.028877551020408166,44000.0,1523674.9116607772
0.028877551020408166,45000.0,1558303.8869257949
0.028877551020408166,46000.0,1592932.8621908126
0.028877551020408166,47000.0,1627561.8374558303
0.028877551020408166,48000.0,1662190.8127208478
0.028877551020408166,49000.0,1696819.7879858655
0.028877551020408166,50000.0,1731448.7632508832
0.029795918367346942,1000.0,33561.643835616436
0.029795918367346942,2000.0,67123.28767123287
0.029795918367346942,3000.0,100684.9315068493
0.029795918367346942,4000.0,134246.57534246575
0.029795918367346942,5000.0,167808.21917808216
0.029795918367346942,6000.0,201369.8630136986
0.029795918367346942,7000.0,234931.50684931505
0.029795918367346942,8000.0,268493.1506849315
0.029795918367346942,9000.0,302054.7945205479
0.029795918367346942,10000.0,335616.4383561643
0.029795918367346942,11000.0,369178.0821917808
0.029795918367346942,12000.0,402739.7260273972
0.029795918367346942,13000.0,436301.3698630136
0.029795918367346942,14000.0,469863.0136986301
0.029795918367346942,15000.0,503424.6575342465
0.029795918367346942,16000.0,536986.301369863
0.029795918367346942,17000.0,570547.9452054794
0.029795918367346942,18000.0,604109.5890410958
0.029795918367346942,19000.0,637671.2328767122
0.029795918367346942,20000.0,671232.8767123286
0.029795918367346942,21000.0,704794.5205479452
0.029795918367346942,22000.0,738356.1643835616
0.029795918367346942,23000.0,771917.808219178
0.029795918367346942,24000.0,805479.4520547944
0.029795918367346942,25000.0,839041.0958904108
0.029795918367346942,26000.0,872602.7397260272
0.029795918367346942,27000.0,906164.3835616438
0.029795918367346942,28000.0,939726.0273972602
0.029795918367346942,29000.0,973287.6712328766
0.029795918367346942,30000.0,1006849.315068493
0.029795918367346942,31000.0,1040410.9589041094
0.029795918367346942,32000.0,1073972.602739726
0.029795918367346942,33000.0,1107534.2465753423
0.029795918367346942,34000.0,1141095.8904109588
0.029795918367346942,35000.0,1174657.5342465753
0.029795918367346942,36000.0,1208219.1780821916
0.029795918367346942,37000.0,1241780.8219178081
0.029795918367346942,38000.0,1275342.4657534244
0.029795918367346942,39000.0,1308904.109589041
0.029795918367346942,40000.0,1342465.7534246573
0.029795918367346942,41000.0,1376027.3972602738
0.029795918367346942,42000.0,1409589.0410958903
0.029795918367346942,43000.0,1443150.6849315066
0.029795918367346942,44000.0,1476712.3287671232
0.029795918367346942,45000.0,1510273.9726027395
0.029795918367346942,46000.0,1543835.616438356
0.029795918367346942,47000.0,1577397.2602739725
0.029795918367346942,48000.0,1610958.9041095888
0.029795918367346942,49000.0,1644520.5479452054
0.029795918367346942,50000.0,1678082.1917808217
0.03071428571428572,1000.0,32558.139534883718
0.03071428571428572,2000.0,65116.279069767435
0.03071428571428572,3000.0,97674.41860465115
0.03071428571428572,4000.0,130232.55813953487
0.03071428571428572,5000.0,162790.6976744186
0.03071428571428572,6000.0,195348.8372093023
0.03071428571428572,7000.0,227906.97674418602
0.03071428571428572,8000.0,260465.11627906974
0.03071428571428572,9000.0,293023.25581395347
0.03071428571428572,10000.0,325581.3953488372
0.03071428571428572,11000.0,358139.53488372086
0.03071428571428572,12000.0,390697.6744186046
0.03071428571428572,13000.0,423255.8139534883
0.03071428571428572,14000.0,455813.95348837203
0.03071428571428572,15000.0,488372.09302325576
0.03071428571428572,16000.0,520930.2325581395
0.03071428571428572,17000.0,553488.3720930232
0.03071428571428572,18000.0,586046.5116279069
0.03071428571428572,19000.0,618604.6511627906
0.03071428571428572,20000.0,651162.7906976744
0.03071428571428572,21000.0,683720.930232558
0.03071428571428572,22000.0,716279.0697674417
0.03071428571428572,23000.0,748837.2093023255
0.03071428571428572,24000.0,781395.3488372092
0.03071428571428572,25000.0,813953.488372093
0.03071428571428572,26000.0,846511.6279069766
0.03071428571428572,27000.0,879069.7674418604
