trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,status_quo_async_log,4,512,1437267,5458.53,1053227,3338,5642,6415,6766,3493.27
1,status_quo_async_log,1,512,1437267,5462.10,263135,3354,4899,6645,6645,3532.31
1,status_quo_async_log,2,512,1437267,5538.18,519040,3370,7205,6403,6535,3539.83
1,status_quo_async_log,4,512,1437267,5588.59,1028716,3323,5647,6684,6788,3532.30
2,status_quo_async_log,1,512,1437267,5277.81,272323,3276,3359,6300,6300,3409.12
2,status_quo_async_log,2,512,1437267,5516.34,521094,3346,5101,6719,6724,3542.65
2,status_quo_async_log,4,512,1437267,5560.93,1033833,3343,6358,6704,6820,3542.59
3,status_quo_async_log,1,512,1437267,5275.77,272428,3276,3336,6265,6265,3407.99
3,status_quo_async_log,2,512,1437267,5562.97,516726,3334,5542,6944,7262,3554.90
3,status_quo_async_log,4,512,1437267,5537.00,1038300,3350,5502,6338,6702,3508.56
4,status_quo_async_log,1,512,1437267,5339.77,269163,3293,4781,6558,6558,3445.14
4,status_quo_async_log,2,512,1437267,5645.22,509198,3372,6474,6804,6838,3644.02
4,status_quo_async_log,4,512,1437267,5547.38,1036357,3341,5665,6536,6639,3509.81
0,status_quo_digest_log,1,512,5351402,5519.48,969547,857,1267,1356,1356,896.71
0,status_quo_digest_log,2,512,5351402,5596.17,1912525,853,1227,1347,1375,891.54
0,status_quo_digest_log,4,512,5351402,5804.16,3687977,874,1225,1378,1503,921.34
1,status_quo_digest_log,1,512,5351402,5514.04,970504,860,1055,1314,1314,896.74
1,status_quo_digest_log,2,512,5351402,5686.73,1882067,860,1351,1538,1650,908.29
1,status_quo_digest_log,4,512,5351402,5819.55,3678223,862,1295,1388,1443,912.90
2,status_quo_digest_log,1,512,5351402,5422.06,986968,842,1144,1276,1276,879.79
2,status_quo_digest_log,2,512,5351402,5670.03,1887609,875,1429,1545,1609,918.58
2,status_quo_digest_log,4,512,5351402,5707.55,3750401,853,1155,1276,1473,897.03
3,status_quo_digest_log,1,512,5351402,5450.02,981905,840,1351,1403,1403,884.58
3,status_quo_digest_log,2,512,5351402,5518.25,1939528,842,1340,1415,1464,887.00
3,status_quo_digest_log,4,512,5351402,5864.53,3650015,861,1358,1600,2301,912.55
4,status_quo_digest_log,1,512,5351402,5395.82,991768,841,1130,1374,1374,875.77
4,status_quo_digest_log,2,512,5351402,5722.57,1870279,885,1296,1670,1972,921.92
4,status_quo_digest_log,4,512,5351402,5685.80,3764751,861,1254,1396,1468,909.52
0,full_pipeline,1,4096,1000000,8792.65,113731,7829,13140,25868,25868,8260.78
0,full_pipeline,2,4096,1000000,8865.16,225602,7816,12052,24140,24658,8268.47
0,full_pipeline,4,4096,1000000,9083.73,440348,7848,12685,25961,26834,8425.53
1,full_pipeline,1,4096,1000000,8726.29,114596,7815,10161,23126,23126,8192.82
1,full_pipeline,2,4096,1000000,8823.28,226673,7812,12579,23190,24775,8255.49
1,full_pipeline,4,4096,1000000,8936.38,447608,7825,10166,24439,25979,8306.88
2,full_pipeline,1,4096,1000000,8829.38,113258,7809,11845,25922,25922,8300.80
2,full_pipeline,2,4096,1000000,8840.94,226220,7841,10271,23802,25621,8266.82
2,full_pipeline,4,4096,1000000,8939.75,447440,7812,11072,25719,26213,8309.35
3,full_pipeline,1,4096,1000000,8783.26,113853,7821,11559,25936,25936,8251.94
